Source Port,Destination Port,NAT Source Port,NAT Destination Port,Action,Bytes,Bytes Sent,Bytes Received,Packets,Elapsed Time (sec),pkts_sent,pkts_received
64772,64147,0,0,deny,66,66,0,1,0,1,0
64013,57470,0,0,deny,74,74,0,1,0,1,0
36339,50584,0,0,deny,62,62,0,1,0,1,0
54045,445,0,0,drop,70,70,0,1,0,1,0
52348,62413,0,0,deny,66,66,0,1,0,1,0
61948,445,0,0,drop,66,66,0,1,0,1,0
56638,64147,0,0,deny,62,62,0,1,0,1,0
50106,31573,0,0,deny,66,66,0,1,0,1,0
64167,445,0,0,drop,66,66,0,1,0,1,0
53429,445,0,0,drop,70,70,0,1,0,1,0
57132,445,0,0,drop,70,70,0,1,0,1,0
56901,445,0,0,drop,70,70,0,1,0,1,0
54240,445,0,0,drop,70,70,0,1,0,1,0
60710,445,0,0,drop,66,66,0,1,0,1,0
56387,445,0,0,drop,70,70,0,1,0,1,0
60960,49049,0,0,deny,62,62,0,1,0,1,0
62740,44847,0,0,deny,146,146,0,1,0,1,0
57539,44847,0,0,deny,62,62,0,1,0,1,0
51354,445,0,0,drop,70,70,0,1,0,1,0
57131,26296,0,0,deny,145,145,0,1,0,1,0
58270,445,0,0,drop,70,70,0,1,0,1,0
49594,22114,0,0,deny,66,66,0,1,0,1,0
63542,445,0,0,drop,70,70,0,1,0,1,0
65118,445,0,0,drop,70,70,0,1,0,1,0
49894,445,0,0,drop,66,66,0,1,0,1,0
11816,50584,0,0,deny,66,66,0,1,0,1,0
64340,445,0,0,drop,66,66,0,1,0,1,0
6666,2001,0,0,deny,60,60,0,1,0,1,0
53964,445,0,0,drop,70,70,0,1,0,1,0
62747,445,0,0,drop,70,70,0,1,0,1,0
62540,29892,0,0,deny,145,145,0,1,0,1,0
42228,51050,0,0,deny,66,66,0,1,0,1,0
5223,1210,0,0,deny,103,103,0,1,0,1,0
62551,445,0,0,drop,66,66,0,1,0,1,0
59497,64097,0,0,deny,66,66,0,1,0,1,0
21173,37965,0,0,deny,62,62,0,1,0,1,0
42344,48637,0,0,deny,60,60,0,1,0,1,0
38358,22300,0,0,deny,60,60,0,1,0,1,0
53614,445,0,0,drop,70,70,0,1,0,1,0
26658,25174,0,0,deny,62,62,0,1,0,1,0
64549,445,0,0,drop,66,66,0,1,0,1,0
44919,26467,0,0,deny,62,62,0,1,0,1,0
57153,445,0,0,drop,66,66,0,1,0,1,0
13413,44847,0,0,deny,66,66,0,1,0,1,0
61030,21247,0,0,deny,66,66,0,1,0,1,0
53309,445,0,0,drop,66,66,0,1,0,1,0
53520,445,0,0,drop,70,70,0,1,0,1,0
50308,445,0,0,drop,70,70,0,1,0,1,0
59422,445,0,0,drop,70,70,0,1,0,1,0
25565,44521,0,0,deny,60,60,0,1,0,1,0
64165,445,0,0,drop,66,66,0,1,0,1,0
61117,445,0,0,drop,66,66,0,1,0,1,0
57025,445,0,0,drop,66,66,0,1,0,1,0
59296,445,0,0,drop,70,70,0,1,0,1,0
53769,445,0,0,drop,70,70,0,1,0,1,0
51965,445,0,0,drop,70,70,0,1,0,1,0
42564,50584,0,0,deny,62,62,0,1,0,1,0
61549,445,0,0,drop,66,66,0,1,0,1,0
52917,445,0,0,drop,66,66,0,1,0,1,0
13559,57866,0,0,deny,62,62,0,1,0,1,0
54958,445,0,0,drop,70,70,0,1,0,1,0
57636,445,0,0,drop,70,70,0,1,0,1,0
1024,44847,0,0,deny,62,62,0,1,0,1,0
6931,55108,0,0,deny,139,139,0,1,0,1,0
58457,445,0,0,drop,70,70,0,1,0,1,0
57319,445,0,0,drop,70,70,0,1,0,1,0
49554,445,0,0,drop,70,70,0,1,0,1,0
52064,22114,0,0,deny,66,66,0,1,0,1,0
15635,41182,0,0,deny,66,66,0,1,0,1,0
57706,64147,0,0,deny,66,66,0,1,0,1,0
57566,445,0,0,drop,66,66,0,1,0,1,0
58627,445,0,0,drop,66,66,0,1,0,1,0
42231,57470,0,0,deny,78,78,0,1,0,1,0
61762,44847,0,0,deny,62,62,0,1,0,1,0
46701,1433,0,0,deny,60,60,0,1,0,1,0
51104,445,0,0,drop,66,66,0,1,0,1,0
60163,445,0,0,drop,70,70,0,1,0,1,0
14185,48637,0,0,deny,60,60,0,1,0,1,0
49788,445,0,0,drop,70,70,0,1,0,1,0
52818,445,0,0,drop,70,70,0,1,0,1,0
52791,25174,0,0,deny,66,66,0,1,0,1,0
61838,37965,0,0,deny,66,66,0,1,0,1,0
47105,64147,0,0,deny,62,62,0,1,0,1,0
28498,36237,0,0,deny,146,146,0,1,0,1,0
3986,17372,0,0,deny,66,66,0,1,0,1,0
55531,445,0,0,drop,70,70,0,1,0,1,0
24301,6881,0,0,deny,62,62,0,1,0,1,0
53866,445,0,0,drop,70,70,0,1,0,1,0
26872,44847,0,0,deny,62,62,0,1,0,1,0
53501,445,0,0,drop,66,66,0,1,0,1,0
63786,35440,0,0,deny,62,62,0,1,0,1,0
53496,445,0,0,drop,66,66,0,1,0,1,0
64001,445,0,0,drop,70,70,0,1,0,1,0
61916,64097,0,0,deny,62,62,0,1,0,1,0
49824,25174,0,0,deny,146,146,0,1,0,1,0
0,0,0,0,deny,98,98,0,1,0,1,0
57945,445,0,0,drop,70,70,0,1,0,1,0
58354,445,0,0,drop,66,66,0,1,0,1,0
65495,11392,0,0,deny,66,66,0,1,0,1,0
60508,445,0,0,drop,70,70,0,1,0,1,0
54742,50584,0,0,deny,66,66,0,1,0,1,0
50242,445,0,0,drop,70,70,0,1,0,1,0
58220,445,0,0,drop,70,70,0,1,0,1,0
7539,30317,0,0,deny,62,62,0,1,0,1,0
37538,37965,0,0,deny,66,66,0,1,0,1,0
58658,445,0,0,drop,66,66,0,1,0,1,0
65117,445,0,0,drop,66,66,0,1,0,1,0
57453,445,0,0,drop,70,70,0,1,0,1,0
33832,55108,0,0,deny,148,148,0,1,0,1,0
60440,445,0,0,drop,66,66,0,1,0,1,0
64839,445,0,0,drop,70,70,0,1,0,1,0
61120,445,0,0,drop,70,70,0,1,0,1,0
1027,44847,0,0,deny,62,62,0,1,0,1,0
51812,445,0,0,drop,70,70,0,1,0,1,0
57768,37965,0,0,deny,66,66,0,1,0,1,0
50094,445,0,0,drop,70,70,0,1,0,1,0
50297,445,0,0,drop,70,70,0,1,0,1,0
13285,29892,0,0,deny,145,145,0,1,0,1,0
51754,18375,0,0,deny,62,62,0,1,0,1,0
58678,445,0,0,drop,70,70,0,1,0,1,0
62982,445,0,0,drop,70,70,0,1,0,1,0
3352,50584,0,0,deny,66,66,0,1,0,1,0
52198,445,0,0,drop,70,70,0,1,0,1,0
61162,445,0,0,drop,70,70,0,1,0,1,0
39531,19473,0,0,deny,62,62,0,1,0,1,0
52412,445,0,0,drop,66,66,0,1,0,1,0
60048,445,0,0,drop,70,70,0,1,0,1,0
23770,50584,0,0,deny,66,66,0,1,0,1,0
1773,11392,0,0,deny,62,62,0,1,0,1,0
60038,445,0,0,drop,70,70,0,1,0,1,0
50748,445,0,0,drop,70,70,0,1,0,1,0
8868,50584,0,0,deny,146,146,0,1,0,1,0
62549,53733,0,0,deny,66,66,0,1,0,1,0
57572,445,0,0,drop,70,70,0,1,0,1,0
64503,445,0,0,drop,70,70,0,1,0,1,0
62345,445,0,0,drop,66,66,0,1,0,1,0
55246,31573,0,0,deny,62,62,0,1,0,1,0
22541,64147,0,0,deny,66,66,0,1,0,1,0
54586,445,0,0,drop,70,70,0,1,0,1,0
62949,37965,0,0,deny,62,62,0,1,0,1,0
56082,445,0,0,drop,66,66,0,1,0,1,0
57033,445,0,0,drop,66,66,0,1,0,1,0
65179,44847,0,0,deny,66,66,0,1,0,1,0
13985,34159,0,0,deny,62,62,0,1,0,1,0
63944,30188,0,0,deny,66,66,0,1,0,1,0
54142,20541,0,0,deny,66,66,0,1,0,1,0
57709,445,0,0,drop,70,70,0,1,0,1,0
9756,26467,0,0,deny,62,62,0,1,0,1,0
58638,5900,0,0,deny,62,62,0,1,0,1,0
8239,37965,0,0,deny,146,146,0,1,0,1,0
61341,445,0,0,drop,66,66,0,1,0,1,0
58638,5900,0,0,deny,62,62,0,1,0,1,0
54274,445,0,0,drop,70,70,0,1,0,1,0
51558,37965,0,0,deny,72,72,0,1,0,1,0
8999,43109,0,0,deny,146,146,0,1,0,1,0
56512,445,0,0,drop,66,66,0,1,0,1,0
1431,30041,0,0,deny,62,62,0,1,0,1,0
56400,445,0,0,drop,66,66,0,1,0,1,0
42231,57470,0,0,deny,78,78,0,1,0,1,0
65333,445,0,0,drop,70,70,0,1,0,1,0
62664,445,0,0,drop,70,70,0,1,0,1,0
4427,50584,0,0,deny,62,62,0,1,0,1,0
43890,123,0,0,deny,234,234,0,1,0,1,0
53074,445,0,0,drop,70,70,0,1,0,1,0
60485,22114,0,0,deny,66,66,0,1,0,1,0
2464,50584,0,0,deny,62,62,0,1,0,1,0
44849,46478,0,0,deny,74,74,0,1,0,1,0
37008,42707,0,0,deny,62,62,0,1,0,1,0
14693,64147,0,0,deny,62,62,0,1,0,1,0
50136,445,0,0,drop,70,70,0,1,0,1,0
64159,445,0,0,drop,70,70,0,1,0,1,0
57850,445,0,0,drop,70,70,0,1,0,1,0
54280,3385,0,0,deny,60,60,0,1,0,1,0
53075,445,0,0,drop,70,70,0,1,0,1,0
62971,44847,0,0,deny,62,62,0,1,0,1,0
63939,445,0,0,drop,70,70,0,1,0,1,0
57455,445,0,0,drop,70,70,0,1,0,1,0
57240,445,0,0,drop,70,70,0,1,0,1,0
64358,445,0,0,drop,70,70,0,1,0,1,0
50963,445,0,0,drop,66,66,0,1,0,1,0
51014,445,0,0,drop,66,66,0,1,0,1,0
61550,5529,0,0,deny,145,145,0,1,0,1,0
1847,64147,0,0,deny,62,62,0,1,0,1,0
50012,445,0,0,drop,70,70,0,1,0,1,0
37522,22114,0,0,deny,62,62,0,1,0,1,0
11859,64147,0,0,deny,62,62,0,1,0,1,0
62501,445,0,0,drop,70,70,0,1,0,1,0
57015,25174,0,0,deny,66,66,0,1,0,1,0
58247,57866,0,0,deny,66,66,0,1,0,1,0
58638,5900,0,0,deny,62,62,0,1,0,1,0
52084,445,0,0,drop,66,66,0,1,0,1,0
56755,445,0,0,drop,70,70,0,1,0,1,0
52754,26467,0,0,deny,62,62,0,1,0,1,0
59952,445,0,0,drop,70,70,0,1,0,1,0
2990,64147,0,0,deny,66,66,0,1,0,1,0
65093,445,0,0,drop,70,70,0,1,0,1,0
62920,445,0,0,drop,70,70,0,1,0,1,0
35120,26467,0,0,deny,62,62,0,1,0,1,0
57706,64147,0,0,deny,66,66,0,1,0,1,0
55324,445,0,0,drop,70,70,0,1,0,1,0
3478,61463,0,0,deny,179,179,0,1,0,1,0
53027,445,0,0,drop,70,70,0,1,0,1,0
43129,15503,0,0,deny,62,62,0,1,0,1,0
58638,5900,0,0,deny,62,62,0,1,0,1,0
57706,64147,0,0,deny,62,62,0,1,0,1,0
41381,23,0,0,deny,60,60,0,1,0,1,0
59018,445,0,0,drop,66,66,0,1,0,1,0
51720,445,0,0,drop,66,66,0,1,0,1,0
63019,445,0,0,drop,66,66,0,1,0,1,0
51414,22,0,0,deny,60,60,0,1,0,1,0
64038,445,0,0,drop,66,66,0,1,0,1,0
50017,445,0,0,drop,70,70,0,1,0,1,0
54989,50265,0,0,deny,66,66,0,1,0,1,0
42685,51180,0,0,deny,62,62,0,1,0,1,0
57987,56125,0,0,deny,90,90,0,1,0,1,0
51825,445,0,0,drop,70,70,0,1,0,1,0
49587,35776,0,0,deny,157,157,0,1,0,1,0
65339,445,0,0,drop,70,70,0,1,0,1,0
52522,445,0,0,drop,70,70,0,1,0,1,0
62392,15503,0,0,deny,62,62,0,1,0,1,0
55551,445,0,0,drop,66,66,0,1,0,1,0
64173,445,0,0,drop,70,70,0,1,0,1,0
58638,5900,0,0,deny,62,62,0,1,0,1,0
52144,49344,0,0,deny,62,62,0,1,0,1,0
54241,445,0,0,deny,70,70,0,1,0,1,0
62684,445,0,0,drop,66,66,0,1,0,1,0
61349,445,0,0,drop,66,66,0,1,0,1,0
45941,23386,0,0,deny,60,60,0,1,0,1,0
58638,5900,0,0,deny,62,62,0,1,0,1,0
60989,445,0,0,drop,66,66,0,1,0,1,0
53105,42707,0,0,deny,66,66,0,1,0,1,0
65253,445,0,0,drop,70,70,0,1,0,1,0
28194,32468,0,0,deny,62,62,0,1,0,1,0
56739,445,0,0,drop,70,70,0,1,0,1,0
53999,445,0,0,drop,70,70,0,1,0,1,0
38306,51221,0,0,deny,62,62,0,1,0,1,0
59502,445,0,0,drop,70,70,0,1,0,1,0
64190,445,0,0,drop,66,66,0,1,0,1,0
61159,445,0,0,drop,66,66,0,1,0,1,0
55893,45711,0,0,deny,78,78,0,1,0,1,0
57073,57470,0,0,deny,62,62,0,1,0,1,0
17781,50265,0,0,deny,62,62,0,1,0,1,0
59275,445,0,0,drop,70,70,0,1,0,1,0
53415,445,0,0,drop,70,70,0,1,0,1,0
59961,445,0,0,drop,70,70,0,1,0,1,0
0,0,0,0,deny,94,94,0,1,0,1,0
51374,30317,0,0,deny,66,66,0,1,0,1,0
54389,28543,0,0,deny,62,62,0,1,0,1,0
65143,445,0,0,drop,70,70,0,1,0,1,0
37455,50584,0,0,deny,62,62,0,1,0,1,0
60797,445,0,0,drop,70,70,0,1,0,1,0
58638,5900,0,0,deny,62,62,0,1,0,1,0
4323,64147,0,0,deny,62,62,0,1,0,1,0
52456,445,0,0,drop,66,66,0,1,0,1,0
59535,445,0,0,drop,66,66,0,1,0,1,0
58118,445,0,0,drop,66,66,0,1,0,1,0
60050,445,0,0,drop,66,66,0,1,0,1,0
17097,62413,0,0,deny,62,62,0,1,0,1,0
50802,445,0,0,drop,70,70,0,1,0,1,0
63582,445,0,0,drop,66,66,0,1,0,1,0
9095,22114,0,0,deny,146,146,0,1,0,1,0
36034,35440,0,0,deny,146,146,0,1,0,1,0
51204,445,0,0,drop,70,70,0,1,0,1,0
60312,57470,0,0,deny,74,74,0,1,0,1,0
8239,37965,0,0,deny,146,146,0,1,0,1,0
56327,44512,0,0,deny,66,66,0,1,0,1,0
63240,445,0,0,drop,66,66,0,1,0,1,0
15641,26467,0,0,deny,62,62,0,1,0,1,0
22409,55442,0,0,deny,74,74,0,1,0,1,0
53305,445,0,0,drop,70,70,0,1,0,1,0
54459,445,0,0,drop,66,66,0,1,0,1,0
52454,445,0,0,drop,70,70,0,1,0,1,0
51363,445,0,0,drop,66,66,0,1,0,1,0
15635,41182,0,0,deny,66,66,0,1,0,1,0
50753,445,0,0,drop,66,66,0,1,0,1,0
53527,445,0,0,drop,70,70,0,1,0,1,0
63953,445,0,0,drop,70,70,0,1,0,1,0
52319,445,0,0,drop,70,70,0,1,0,1,0
45269,50584,0,0,deny,62,62,0,1,0,1,0
50118,445,0,0,drop,70,70,0,1,0,1,0
52480,445,0,0,drop,70,70,0,1,0,1,0
53543,44847,0,0,deny,146,146,0,1,0,1,0
51922,44847,0,0,deny,62,62,0,1,0,1,0
58638,5900,0,0,deny,62,62,0,1,0,1,0
63775,445,0,0,drop,66,66,0,1,0,1,0
58638,5900,0,0,deny,62,62,0,1,0,1,0
30114,65151,0,0,deny,60,60,0,1,0,1,0
50598,445,0,0,drop,70,70,0,1,0,1,0
57763,52752,0,0,deny,66,66,0,1,0,1,0
50082,445,0,0,drop,70,70,0,1,0,1,0
63723,445,0,0,drop,70,70,0,1,0,1,0
6889,24748,0,0,deny,143,143,0,1,0,1,0
61897,445,0,0,drop,70,70,0,1,0,1,0
20057,44847,0,0,deny,62,62,0,1,0,1,0
19747,37965,0,0,deny,62,62,0,1,0,1,0
58638,5900,0,0,deny,62,62,0,1,0,1,0
59969,445,0,0,drop,66,66,0,1,0,1,0
55341,445,0,0,drop,70,70,0,1,0,1,0
58399,56205,0,0,deny,66,66,0,1,0,1,0
57607,445,0,0,drop,66,66,0,1,0,1,0
54442,445,0,0,drop,70,70,0,1,0,1,0
58628,445,0,0,drop,70,70,0,1,0,1,0
64065,445,0,0,drop,70,70,0,1,0,1,0
13294,64147,0,0,deny,145,145,0,1,0,1,0
28973,30188,0,0,deny,66,66,0,1,0,1,0
49160,57470,0,0,deny,146,146,0,1,0,1,0
58442,445,0,0,drop,66,66,0,1,0,1,0
58085,57470,0,0,deny,66,66,0,1,0,1,0
59576,445,0,0,drop,70,70,0,1,0,1,0
57602,445,0,0,drop,70,70,0,1,0,1,0
49993,37965,0,0,deny,66,66,0,1,0,1,0
26085,51221,0,0,deny,72,72,0,1,0,1,0
54979,445,0,0,drop,70,70,0,1,0,1,0
25565,62778,0,0,deny,60,60,0,1,0,1,0
5610,37965,0,0,deny,66,66,0,1,0,1,0
65068,445,0,0,drop,66,66,0,1,0,1,0
62115,57470,0,0,deny,66,66,0,1,0,1,0
57415,445,0,0,drop,70,70,0,1,0,1,0
52038,50584,0,0,deny,66,66,0,1,0,1,0
62529,445,0,0,drop,70,70,0,1,0,1,0
49855,36180,0,0,deny,62,62,0,1,0,1,0
65228,53,0,0,deny,88,88,0,1,0,1,0
56148,37965,0,0,deny,66,66,0,1,0,1,0
25523,35974,0,0,deny,62,62,0,1,0,1,0
35232,36602,0,0,deny,74,74,0,1,0,1,0
52337,445,0,0,drop,70,70,0,1,0,1,0
443,28215,0,0,deny,60,60,0,1,0,1,0
55578,445,0,0,drop,70,70,0,1,0,1,0
58784,445,0,0,drop,66,66,0,1,0,1,0
53423,445,0,0,drop,70,70,0,1,0,1,0
56127,35440,0,0,deny,62,62,0,1,0,1,0
3478,61463,0,0,deny,1109,1109,0,1,0,1,0
58638,5900,0,0,deny,62,62,0,1,0,1,0
49190,445,0,0,drop,70,70,0,1,0,1,0
61227,445,0,0,drop,70,70,0,1,0,1,0
57240,445,0,0,drop,66,66,0,1,0,1,0
55600,22,0,0,deny,60,60,0,1,0,1,0
27677,22114,0,0,deny,62,62,0,1,0,1,0
58638,5900,0,0,deny,62,62,0,1,0,1,0
42463,56205,0,0,deny,62,62,0,1,0,1,0
49220,445,0,0,drop,66,66,0,1,0,1,0
27947,26467,0,0,deny,62,62,0,1,0,1,0
0,0,0,0,deny,98,98,0,1,0,1,0
60246,44612,0,0,deny,66,66,0,1,0,1,0
26408,64147,0,0,deny,66,66,0,1,0,1,0
57901,445,0,0,drop,70,70,0,1,0,1,0
53532,445,0,0,drop,70,70,0,1,0,1,0
43584,24748,0,0,deny,156,156,0,1,0,1,0
26762,22114,0,0,deny,62,62,0,1,0,1,0
61769,445,0,0,drop,70,70,0,1,0,1,0
57026,445,0,0,drop,66,66,0,1,0,1,0
58638,5900,0,0,deny,62,62,0,1,0,1,0
62410,445,0,0,drop,66,66,0,1,0,1,0
31974,51505,0,0,deny,66,66,0,1,0,1,0
19697,26296,0,0,deny,159,159,0,1,0,1,0
2525,23,0,0,deny,60,60,0,1,0,1,0
56177,445,0,0,drop,66,66,0,1,0,1,0
56703,22,0,0,deny,60,60,0,1,0,1,0
56328,36237,0,0,deny,66,66,0,1,0,1,0
20576,37965,0,0,deny,62,62,0,1,0,1,0
64556,445,0,0,drop,70,70,0,1,0,1,0
63002,22114,0,0,deny,66,66,0,1,0,1,0
59734,5900,0,0,deny,60,60,0,1,0,1,0
53513,56205,0,0,deny,146,146,0,1,0,1,0
56863,5900,0,0,deny,60,60,0,1,0,1,0
59891,445,0,0,drop,70,70,0,1,0,1,0
15442,22114,0,0,deny,66,66,0,1,0,1,0
52522,445,0,0,drop,66,66,0,1,0,1,0
57564,56205,0,0,deny,66,66,0,1,0,1,0
51553,445,0,0,drop,66,66,0,1,0,1,0
55396,26467,0,0,deny,62,62,0,1,0,1,0
57928,30188,0,0,deny,62,62,0,1,0,1,0
59192,445,0,0,drop,66,66,0,1,0,1,0
32609,64097,0,0,deny,66,66,0,1,0,1,0
24616,48983,0,0,deny,146,146,0,1,0,1,0
10416,64147,0,0,deny,62,62,0,1,0,1,0
8999,8055,0,0,deny,146,146,0,1,0,1,0
48180,143,0,0,deny,60,60,0,1,0,1,0
443,18177,0,0,deny,66,66,0,1,0,1,0
60092,51505,0,0,deny,62,62,0,1,0,1,0
34731,22114,0,0,deny,62,62,0,1,0,1,0
51142,445,0,0,drop,70,70,0,1,0,1,0
58638,5900,0,0,deny,62,62,0,1,0,1,0
56630,445,0,0,drop,66,66,0,1,0,1,0
63288,52848,0,0,deny,66,66,0,1,0,1,0
62845,445,0,0,drop,70,70,0,1,0,1,0
50570,57470,0,0,deny,66,66,0,1,0,1,0
57734,445,0,0,drop,70,70,0,1,0,1,0
36080,26467,0,0,deny,62,62,0,1,0,1,0
60549,445,0,0,drop,70,70,0,1,0,1,0
50182,445,0,0,drop,66,66,0,1,0,1,0
57182,445,0,0,drop,66,66,0,1,0,1,0
64891,22,0,0,deny,60,60,0,1,0,1,0
38053,50584,0,0,deny,62,62,0,1,0,1,0
62067,445,0,0,drop,70,70,0,1,0,1,0
57005,445,0,0,drop,70,70,0,1,0,1,0
43584,24748,0,0,deny,156,156,0,1,0,1,0
63403,445,0,0,drop,70,70,0,1,0,1,0
49367,445,0,0,drop,70,70,0,1,0,1,0
18415,37965,0,0,deny,62,62,0,1,0,1,0
61550,5529,0,0,deny,145,145,0,1,0,1,0
23795,44847,0,0,deny,146,146,0,1,0,1,0
57468,57470,0,0,deny,66,66,0,1,0,1,0
54179,445,0,0,drop,70,70,0,1,0,1,0
53884,445,0,0,drop,66,66,0,1,0,1,0
55427,445,0,0,drop,66,66,0,1,0,1,0
62250,23117,0,0,deny,66,66,0,1,0,1,0
33215,37965,0,0,deny,62,62,0,1,0,1,0
51043,445,0,0,drop,70,70,0,1,0,1,0
26697,37965,0,0,deny,66,66,0,1,0,1,0
35589,25174,0,0,deny,66,66,0,1,0,1,0
50852,445,0,0,drop,70,70,0,1,0,1,0
28973,30188,0,0,deny,66,66,0,1,0,1,0
58743,35894,0,0,deny,66,66,0,1,0,1,0
59662,445,0,0,drop,70,70,0,1,0,1,0
3478,61463,0,0,deny,68,68,0,1,0,1,0
21322,25174,0,0,deny,62,62,0,1,0,1,0
53235,445,0,0,drop,70,70,0,1,0,1,0
51295,445,0,0,drop,70,70,0,1,0,1,0
26881,25174,0,0,deny,66,66,0,1,0,1,0
443,43775,0,0,deny,97,97,0,1,0,1,0
47962,16069,0,0,deny,62,62,0,1,0,1,0
43461,35440,0,0,deny,62,62,0,1,0,1,0
64211,445,0,0,drop,66,66,0,1,0,1,0
55225,11392,0,0,deny,66,66,0,1,0,1,0
60184,37965,0,0,deny,66,66,0,1,0,1,0
50427,445,0,0,drop,70,70,0,1,0,1,0
18754,30188,0,0,deny,66,66,0,1,0,1,0
56753,44847,0,0,deny,62,62,0,1,0,1,0
59191,35440,0,0,deny,62,62,0,1,0,1,0
41346,30188,0,0,deny,62,62,0,1,0,1,0
6889,48817,0,0,deny,143,143,0,1,0,1,0
